Date,Price,Open,High,Low,Vol.,Change %
12/1/11,0.0009,0.0009,0.0009,0.0008,,0.00%
1/1/12,0.0009,0.0009,0.0009,0.0009,,0.00%
2/1/12,0.0009,0.0009,0.0009,0.0009,,0.00%
3/1/12,0.0009,0.0009,0.0009,0.0009,,0.00%
4/1/12,0.0009,0.0009,0.0009,0.0009,,0.00%
5/1/12,0.0008,0.0009,0.0009,0.0008,,-11.11%
6/1/12,0.0009,0.0008,0.0009,0.0008,,12.50%
7/1/12,0.0009,0.0009,0.0009,0.0009,,0.00%
8/1/12,0.0009,0.0009,0.0009,0.0009,,0.00%
9/1/12,0.0009,0.0009,0.0009,0.0009,,0.00%
10/1/12,0.0009,0.0009,0.0009,0.0009,,0.00%
11/1/12,0.0009,0.0009,0.0009,0.0009,,0.00%
12/1/12,0.0009,0.0009,0.0009,0.0009,,0.00%
1/1/13,0.0009,0.0009,0.001,0.0009,,0.00%
2/1/13,0.0009,0.0009,0.0009,0.0009,,0.00%
3/1/13,0.0009,0.0009,0.0009,0.0009,,0.00%
4/1/13,0.0009,0.0009,0.0009,0.0009,,0.00%
5/1/13,0.0009,0.0009,0.0009,0.0009,,0.00%
6/1/13,0.0009,0.0009,0.0009,0.0009,,0.00%
7/1/13,0.0009,0.0009,0.0009,0.0009,,0.00%
8/1/13,0.0009,0.0009,0.0009,0.0009,,0.00%
9/1/13,0.0009,0.0009,0.001,0.0009,,0.00%
10/1/13,0.0009,0.0009,0.0009,0.0009,,0.00%
11/1/13,0.0009,0.0009,0.0009,0.0009,,0.00%
12/1/13,0.0009,0.0009,0.001,0.0009,,0.00%
1/1/14,0.0009,0.0009,0.001,0.0009,,0.00%
2/1/14,0.0009,0.0009,0.0009,0.0009,,0.00%
3/1/14,0.0009,0.0009,0.0009,0.0009,,0.00%
4/1/14,0.001,0.0009,0.001,0.0009,,11.11%
5/1/14,0.001,0.001,0.001,0.001,,0.00%
6/1/14,0.001,0.001,0.001,0.001,,0.00%
7/1/14,0.001,0.001,0.001,0.001,,0.00%
8/1/14,0.001,0.001,0.001,0.001,,0.00%
9/1/14,0.0009,0.001,0.001,0.0009,,-10.00%
10/1/14,0.0009,0.0009,0.001,0.0009,,0.00%
11/1/14,0.0009,0.0009,0.0009,0.0009,,0.00%
12/1/14,0.0009,0.0009,0.0009,0.0009,,0.00%
1/1/15,0.0009,0.0009,0.0009,0.0009,,0.00%
2/1/15,0.0009,0.0009,0.0009,0.0009,,0.00%
3/1/15,0.0009,0.0009,0.0009,0.0009,,0.00%
4/1/15,0.0009,0.0009,0.0009,0.0009,,0.00%
5/1/15,0.0009,0.0009,0.0009,0.0009,,0.00%
6/1/15,0.0009,0.0009,0.0009,0.0009,,0.00%
7/1/15,0.0009,0.0009,0.0009,0.0009,,0.00%
8/1/15,0.0008,0.0009,0.0012,0.0008,,-11.11%
9/1/15,0.0008,0.0008,0.0009,0.0008,,0.00%
10/1/15,0.0009,0.0008,0.0009,0.0008,,12.50%
11/1/15,0.0009,0.0009,0.0009,0.0009,,0.00%
12/1/15,0.0009,0.0009,0.0009,0.0008,,0.00%
1/1/16,0.0008,0.0009,0.0009,0.0008,,-11.11%
2/1/16,0.0008,0.0008,0.3517,0.0008,,0.00%
3/1/16,0.0009,0.0008,0.0009,0.0008,,12.50%
4/1/16,0.0009,0.0009,0.0009,0.0009,,0.00%
5/1/16,0.0008,0.0009,0.0009,0.0008,,-11.11%
6/1/16,0.0009,0.0008,0.0009,0.0008,,12.50%
7/1/16,0.0009,0.0009,0.0009,0.0009,,0.00%
8/1/16,0.0009,0.0009,0.0009,0.0009,,0.00%
9/1/16,0.000897,0.000897,0.000897,0.000897,,-0.38%
10/1/16,0.000907,0.000907,0.000907,0.000907,,1.21%
11/1/16,0.000849,0.000874,0.000874,0.00085,,-6.40%
12/1/16,0.00085,0.000848,0.00085,0.000848,,0.06%
1/1/17,0.00085,0.000828,0.00085,0,,0.00%
2/1/17,0.000869,0.000869,0.000869,0.000869,,2.26%
3/1/17,0.000879,0.000879,0.000879,0.000879,,1.10%
4/1/17,0.000895,0.000895,0.000895,0.000895,,1.81%
5/1/17,0.00088,0.00088,0.00088,0.00088,,-1.68%
6/1/17,0.000893,0.000893,0.000893,0.000893,,1.48%
7/1/17,0.000873,0.000873,0.000873,0.000873,,-2.23%
8/1/17,0.000889,0.000893,0.000893,0.000889,,1.87%
9/1/17,0.000873,0.000889,0.000889,0.000873,,-1.81%
10/1/17,0.000894,0.000873,0.000873,0.000894,,2.37%
11/1/17,0.000919,0.000894,0.000919,0.000899,,2.80%
12/1/17,0.000937,0.000919,0.000937,0.000919,,1.98%
1/1/18,0.000935,0.000937,0.000935,0.000937,,-0.28%
2/1/18,0.000921,0.000935,0.000921,0.000935,,-1.50%
3/1/18,0.000942,0.000921,0.000942,0.000921,,2.36%
4/1/18,0.000934,0.000941,0.000934,0.000941,,-0.86%
5/1/18,0.000925,0.0009,0.000939,0.0009,,-0.94%
6/1/18,0.000897,0.000925,0.000938,0.000887,,-3.03%
7/1/18,0.000898,0.000897,0.000901,0.000877,,0.10%
8/1/18,0.000896,0.000898,0.000905,0.000879,,-0.21%
9/1/18,0.000901,0.000896,0.000903,0.000879,,0.47%
10/1/18,0.000876,0.000901,0.000902,0.000872,,-2.68%
11/1/18,0.000893,0.000876,0.0009,0.000876,,1.83%
12/1/18,0.000898,0.000892,0.000906,0.000881,,0.64%
1/1/19,0.000899,0.000898,0.000902,0.000882,,0.06%
2/1/19,0.000889,0.000899,0.0009,0.000884,,-1.13%
3/1/19,0.000879,0.000889,0.00089,0.000877,,-1.04%
4/1/19,0.000859,0.000879,0.000884,0.000855,,-2.36%
5/1/19,0.000841,0.000859,0.000862,0.000836,,-2.10%
6/1/19,0.000865,0.000841,0.000868,0.00084,,2.86%
7/1/19,0.000842,0.000865,0.00087,0.000841,,-2.64%
